"actor_imdb_id","name","gender","birthday","actor_race"
"nm0001158","Keir Dullea","m","1936-5-30","White"
"nm0516972","Gary Lockwood","m","1937-2-21","White"
"nm0843213","William Sylvester","m","1922-1-31","-"
"nm0725220","Daniel Richter","m","1939-0-0","-"
"nm0744436","Leonard Rossiter","m","1926-10-21","White"
"nm0879239","Margaret Tyzack","f","1931-9-9","White"
"nm0064235","Robert Beatty","m","1909-10-19","White"
"nm0838330","Sean Sullivan","m","1921-12-26","-"
"nm0706937","Douglas Rain","m","1928-3-13","-"
"nm0588339","Frank Miller","m","undefined","White"
"nm0922916","Bill Weston","m","1941-5-29","-"
"nm0084042","Ed Bishop","m","1932-6-11","White"
"nm0065140","Glenn Beck","m","1935-6-1","White"
"nm0317506","Alan Gifford","m","1911-3-11","-"
"nm0319268","Ann Gillis","f","1927-2-12","-"
"nm0140809","Edwina Carroll","f","undefined","-"
"nm0103988","Penny Brahms","f","undefined","-"
"nm0236049","Heather Downham","f","undefined","-"
"nm0522569","Mike Lovell","m","undefined","-"
"nm0039070","John Ashley","m","1941-12-10","White"
"nm0068284","Jimmy Bell","m","undefined","-"
"nm0152926","David Charkham","m","undefined","-"
"nm0205471","Simon Davis","m","1937-5-31","-"
"nm0205887","Jonathan Daw","m","undefined","-"
"nm0217628","Péter Delmár","m","undefined","-"
"nm0240956","Terry Duggan","m","1932-4-15","-"
"nm0281443","David Fleetwood","m","undefined","-"
"nm0344008","Danny Grover","m","undefined","-"
"nm0370311","Brian Hawley","m","undefined","-"
"nm0385651","David Hines","m","undefined","-"
"nm0414111","Tony Jackson","m","undefined","-"
"nm1262811","John Jordan","m","undefined","-"
"nm0533229","Scott MacKee","m","undefined","-"
"nm0545444","Laurence Marchant","m","undefined","-"
"nm0655942","Darryl Paes","m","undefined","-"
"nm0716327","Joe Refalo","m","undefined","-"
"nm0908518","Andy Wallace","m","undefined","-"
"nm0934408","Bob Wilyman","m","undefined","-"
"nm1592207","Richard Woods","m","undefined","-"
