imdbID,Title,Year,Cast,Meter,Metacritic,AdjBoxOffice,LeadActor,Gender
tt2488496,Star Wars: Episode VII - The Force Awakens,2015,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",92,81,934381231,Daisy Ridley,f
tt0499549,Avatar,2009,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",83,83,843234239,Sam Worthington,m
tt0369610,Jurassic World,2015,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio",72,59,654709324,Chris Pratt,m
tt0848228,The Avengers,2012,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",92,69,645861503,Robert Downey Jr.,m
tt0468569,The Dark Knight,2008,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",94,82,589422987,Christian Bale,m
tt0298148,Shrek 2,2004,"Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews",88,75,549718499,Mike Myers,m
tt0145487,Spider-Man,2002,"Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco",89,73,533968064,Tobey Maguire,m
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,"Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport",54,53,499283057,Johnny Depp,m
tt0167260,The Lord of the Rings: The Return of the King,2003,"Noel Appleby, Ali Astin, Sean Astin, David Aston",95,94,470642108,Noel Appleby,m
tt0316654,Spider-Man 2,2004,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina",93,83,470251747,Tobey Maguire,m
tt0335345,The Passion of the Christ,2004,"Jim Caviezel, Maia Morgenstern, Christo Jivkov, Francesco De Vito",49,47,466221737,Jim Caviezel,m
tt1345836,The Dark Knight Rises,2012,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt",87,78,464319813,Christian Bale,m
tt2395427,Avengers: Age of Ultron,2015,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",75,66,460765991,Robert Downey Jr.,m
tt0435761,Toy Story 3,2010,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",99,92,452738171,Tom Hanks,m
tt0167261,The Lord of the Rings: The Two Towers,2002,"Bruce Allpress, Sean Astin, John Bach, Sala Baker",96,88,449316204,Bruce Allpress,m
tt1055369,Transformers: Revenge of the Fallen,2009,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",19,35,445844165,Shia LaBeouf,m
tt1951264,The Hunger Games: Catching Fire,2013,"Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair",89,76,433609883,Jennifer Lawrence,f
tt0241527,Harry Potter and the Sorcerer's Stone,2001,"Richard Harris, Maggie Smith, Robbie Coltrane, Saunders Triplets",80,64,426788024,Richard Harris,m
tt1392170,The Hunger Games,2012,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields",84,68,422768319,Stanley Tucci,m
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,"Alan Howard, Noel Appleby, Sean Astin, Sala Baker",91,92,421681618,Alan Howard,m
tt1300854,Iron Man 3,2013,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce",79,62,417678856,Robert Downey Jr.,m
tt2294629,Frozen,2013,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",89,74,409202732,Kristen Bell,f
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,"Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee",66,54,407254810,Ewan McGregor,m
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe",96,87,402993766,Ralph Fiennes,m
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",79,63,394744603,Johnny Depp,m
tt0413300,Spider-Man 3,2007,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church",63,59,386100592,Tobey Maguire,m
tt1690953,Despicable Me 2,2013,"Steve Carell, Kristen Wiig, Benjamin Bratt, Miranda Cosgrove",74,62,375808848,Steve Carell,m
tt1399103,Transformers: Dark of the Moon,2011,"Shia LaBeouf, Rosie Huntington-Whiteley, Josh Duhamel, John Turturro",35,42,372742791,Shia LaBeouf,m
tt0413267,Shrek the Third,2007,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas",40,58,367971648,Mike Myers,m
tt0234215,The Matrix Reloaded,2003,"Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu",73,62,363971850,Ray Anthony,m
tt0126029,Shrek,2001,"Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow",88,84,358792199,Mike Myers,m
tt2096673,Inside Out,2015,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader",98,94,357871625,Amy Poehler,f
tt0170016,How the Grinch Stole Christmas,2000,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor",53,46,357844918,Jim Carrey,m
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell",76,75,355398456,Georgie Henley,m
tt0449088,Pirates of the Caribbean: At World's End,2007,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",45,50,355006012,Johnny Depp,m
tt0330373,Harry Potter and the Goblet of Fire,2005,"Eric Sykes, Timothy Spall, David Tennant, Daniel Radcliffe",88,81,353327227,Eric Sykes,m
tt0371746,Iron Man,2008,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow",94,79,351796994,Robert Downey Jr.,m
tt0290002,Meet the Fockers,2004,"Robert De Niro, Ben Stiller, Dustin Hoffman, Barbra Streisand",38,41,351618339,Robert De Niro,m
